"現住人口之年齡分配-年 依 年底別, 鄉鎮市別, 性別 與 指標"

" "," "," "," 全年齡"," 0─4歲"," 5─9歲"," 10─14歲"," 15─19歲"," 20─24歲"," 25─29歲"," 30─34歲"," 35─39歲"," 40─44歲"," 45─49歲"," 50─54歲"," 55─59歲"," 60─64歲"," 65─69歲"," 70─74歲"," 75─79歲"," 80─84歲"," 85─89歲"," 90─94歲"," 95─99歲"," 100歲以上"
" "," "," 女",258869,15186,17348,17811,19175,23030,20423,18584,19147,20370,18237,15643,10558,11496,10521,9061,6281,3734,1616,552,84,12
" "," 南投市"
" "," "," 合計",86668,5520,7587,8698,8622,9703,8046,7221,8046,8887,7796,6542,3919,3913,3406,3042,2274,1278,522,194,36,5
" "," "," 男",44260,2874,3879,4617,4431,5021,4165,3653,3977,4388,3944,3311,1951,1846,1657,1536,1251,664,267,89,16,2
" "," "," 女",42408,2646,3708,4081,4191,4682,3881,3568,4069,4499,3852,3231,1968,2067,1749,1506,1023,614,255,105,20,3
" "," 埔里鎮"
" "," "," 合計",70743,4809,6047,6171,6168,7543,7025,6555,6948,7322,6572,5583,3631,3580,3138,2678,2018,1004,409,125,20,4
" "," "," 男",36332,2490,3070,3213,3115,3911,3589,3367,3635,3795,3357,2790,1840,1805,1518,1391,1088,501,170,50,7,1
" "," "," 女",34411,2319,2977,2958,3053,3632,3436,3188,3313,3527,3215,2793,1791,1775,1620,1287,930,503,239,75,13,3
" "," 草屯鎮"
" "," "," 合計",81896,5753,7021,7517,7580,9130,7948,7452,7805,8246,7255,6189,3779,3850,3480,2812,1790,901,382,138,28,3
" "," "," 男",42163,2992,3630,3885,3975,4692,4076,3748,3981,4195,3736,3253,1971,1904,1787,1392,823,369,140,48,14,1
" "," "," 女",39733,2761,3391,3632,3605,4438,3872,3704,3824,4051,3519,2936,1808,1946,1693,1420,967,532,242,90,14,2
" "," 竹山鎮"
" "," "," 合計",47681,3610,3631,3887,4398,5610,5164,4439,4393,4525,4161,3863,2652,2886,2556,2115,1372,770,315,104,8,-
" "," "," 男",25220,1856,1896,2075,2257,2877,2765,2440,2404,2474,2172,2004,1357,1492,1272,1028,661,313,107,38,2,-
" "," "," 女",22461,1754,1735,1812,2141,2733,2399,1999,1989,2051,1989,1859,1295,1394,1284,1087,711,457,208,66,6,-
" "," 集集鎮"
" "," "," 合計",9347,775,822,716,713,914,905,1041,991,998,757,715,533,672,685,520,362,212,99,23,6,-
" "," "," 男",5071,391,412,349,352,472,496,559,594,592,438,416,267,346,352,273,168,88,28,7,3,-
" "," "," 女",4276,384,410,367,361,442,409,482,397,406,319,299,266,326,333,247,194,124,71,16,3,-
" "," 名間鄉"
