"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"185","東區","45","1240","71718","192972","93011","99961","101.12","臺南市"
"186","南區","39","845","44122","126018","63011","63007","101.12","臺南市"
"187","北區","43","855","49049","132233","64890","67343","101.12","臺南市"
"188","安南區","51","944","57244","182749","92644","90105","101.12","臺南市"
"189","安平區","15","366","24001","64348","30760","33588","101.12","臺南市"
"190","中西區","38","752","30518","78666","38453","40213","101.12","臺南市"
"191","臺南市","752","14730","648283","1876960","943899","933061","100.12","臺南市"
"192","新營區","29","638","27563","78473","39085","39388","100.12","臺南市"
"193","鹽水區","25","326","10003","26891","14000","12891","100.12","臺南市"
"194","白河區","24","293","10965","30947","16197","14750","100.12","臺南市"
"195","柳營區","13","262","7802","22443","11741","10702","100.12","臺南市"
"196","後壁區","21","268","8840","25569","13315","12254","100.12","臺南市"
"197","東山區","16","311","8234","22771","12079","10692","100.12","臺南市"
"198","麻豆區","29","393","15163","45609","23272","22337","100.12","臺南市"
"199","下營區","15","271","9117","25803","13343","12460","100.12","臺南市"
"200","六甲區","12","231","7684","23509","12233","11276","100.12","臺南市"
"201","官田區","13","257","7639","21965","11237","10728","100.12","臺南市"
"202","大內區","10","145","4033","10674","5688","4986","100.12","臺南市"
"203","佳里區","21","409","19566","59155","29368","29787","100.12","臺南市"
"204","學甲區","13","330","9569","27583","14121","13462","100.12","臺南市"
"205","西港區","12","241","7864","25069","12740","12329","100.12","臺南市"
"206","七股區","23","315","8054","24649","12877","11772","100.12","臺南市"
"207","將軍區","18","304","7417","21261","10838","10423","100.12","臺南市"
"208","北門區","13","206","4398","12254","6242","6012","100.12","臺南市"
"209","新化區","20","253","13831","44023","22524","21499","100.12","臺南市"
"210","善化區","21","360","14977","43995","22226","21769","100.12","臺南市"
"211","新市區","11","263","10968","35035","17615","17420","100.12","臺南市"
"212","安定區","16","255","9457","30263","15680","14583","100.12","臺南市"
"213","山上區","7","85","2723","7757","4081","3676","100.12","臺南市"
"214","玉井區","10","175","5097","15223","7863","7360","100.12","臺南市"
"215","楠西區","7","124","3556","10445","5540","4905","100.12","臺南市"
"216","南化區","9","113","2821","8840","4826","4014","100.12","臺南市"
"217","左鎮區","10","110","1982","5359","2980","2379","100.12","臺南市"
"218","仁德區","18","497","25075","70232","35947","34285","100.12","臺南市"
"219","歸仁區","21","630","20874","66104","33728","32376","100.12","臺南市"
"220","關廟區","17","280","10752","35593","18479","17114","100.12","臺南市"
"221","龍崎區","8","95","1591","4311","2331","1980","100.12","臺南市"
"222","永康區","39","1288","77034","220825","109626","111199","100.12","臺南市"
"223","東區","45","1240","71375","193782","93556","100226","100.12","臺南市"
"224","南區","39","845","43770","126129","63191","62938","100.12","臺南市"
"225","北區","43","855","48697","132098","64952","67146","100.12","臺南市"
"226","安南區","51","944","55867","179987","91372","88615","100.12","臺南市"
"227","安平區","15","366","23654","63593","30445","33148","100.12","臺南市"
"228","中西區","38","752","30271","78741","38561","40180","100.12","臺南市"
"229","臺南市","752","14730","640132","1873794","944044","929750","99.12","臺南市"
"230","新營區","29","638","27200","78105","39014","39091","99.12","臺南市"
"231","鹽水區","25","326","9942","27160","14157","13003","99.12","臺南市"
"232","白河區","24","293","10963","31395","16470","14925","99.12","臺南市"
"233","柳營區","13","262","7801","22726","11877","10849","99.12","臺南市"
"234","後壁區","21","268","8792","25884","13496","12388","99.12","臺南市"
"235","東山區","16","311","8218","23117","12307","10810","99.12","臺南市"
"236","麻豆區","29","393","15074","45795","23436","22359","99.12","臺南市"
"237","下營區","15","271","9108","26119","13528","12591","99.12","臺南市"
"238","六甲區","12","231","7625","23694","12306","11388","99.12","臺南市"
"239","官田區","13","257","7605","22212","11367","10845","99.12","臺南市"
"240","大內區","10","145","4066","10899","5806","5093","99.12","臺南市"
"241","佳里區","21","409","19341","59269","29507","29762","99.12","臺南市"
"242","學甲區","13","330","9549","27864","14231","13633","99.12","臺南市"
"243","西港區","12","241","7812","25200","12833","12367","99.12","臺南市"
"244","七股區","23","315","8016","24815","12970","11845","99.12","臺南市"
"245","將軍區","18","304","7444","21579","10964","10615","99.12","臺南市"
"246","北門區","13","206","4382","12468","6351","6117","99.12","臺南市"
"247","新化區","20","253","13683","44096","22590","21506","99.12","臺南市"
"248","善化區","21","360","14562","43477","22002","21475","99.12","臺南市"
"249","新市區","11","263","10729","34740","17483","17257","99.12","臺南市"
"250","安定區","16","255","9306","30232","15667","14565","99.12","臺南市"
"251","山上區","7","85","2711","7864","4130","3734","99.12","臺南市"
"252","玉井區","10","175","5078","15413","7990","7423","99.12","臺南市"
"253","楠西區","7","124","3578","10663","5646","5017","99.12","臺南市"
"254","南化區","9","113","2828","8925","4880","4045","99.12","臺南市"
"255","左鎮區","10","110","1984","5492","3041","2451","99.12","臺南市"
"256","仁德區","18","497","24715","69343","35637","33706","99.12","臺南市"
"257","歸仁區","21","630","20510","65819","33616","32203","99.12","臺南市"
"258","關廟區","17","280","10721","36026","18690","17336","99.12","臺南市"
"259","龍崎區","8","95","1601","4382","2366","2016","99.12","臺南市"
"260","永康區","39","1288","74942","216748","107783","108965","99.12","臺南市"
"261","東區","45","1240","70835","194183","93968","100215","99.12","臺南市"
"262","南區","39","845","43344","126173","63286","62887","99.12","臺南市"
"263","北區","43","855","48178","131925","65088","66837","99.12","臺南市"
"264","安南區","51","944","54525","178119","90593","87526","99.12","臺南市"
"265","安平區","15","366","23180","62602","29986","32616","99.12","臺南市"
"266","中西區","38","752","30184","79271","38982","40289","99.12","臺南市"
