"","區域名","土地面積","里數","鄰數","戶數","每戶平均人口","人口數","男","女","性別比","人口密度","年月"
"97","新市區","47.8096","11","262","11516","3.08110455019104","35482","17816","17666","100.849088644855","742.152203741508","103.12"
"98","安定區","31.27","16","255","9763","3.10334938031343","30298","15552","14746","105.465889054659","968.91589382795","103.12"
"99","山上區","27.878","7","84","2688","2.79017857142857","7500","3922","3578","109.614309670207","269.029342133582","103.12"
"100","玉井區","76.3662","10","175","5120","2.8439453125","14561","7582","6979","108.640206333286","190.673360727652","103.12"
"101","楠西區","109.6316","7","123","3538","2.85924250989259","10116","5356","4760","112.521008403361","92.2726659101938","103.12"
"102","南化區","171.5198","9","113","2863","3.14390499476074","9001","4878","4123","118.311908804269","52.4779063408423","103.12"
"103","左鎮區","74.9025","10","110","1998","2.59309309309309","5181","2890","2291","126.145787865561","69.1699208971663","103.12"
"104","仁德區","50.7664","18","493","26526","2.75574907637789","73099","37205","35894","103.65242101744","1439.90907371805","103.12"
"105","歸仁區","55.7913","21","630","21963","3.07353275964121","67504","34300","33204","103.300807131671","1209.93775015101","103.12"
"106","關廟區","53.6413","17","280","10889","3.2018550831114","34865","18024","16841","107.024523484354","649.965604860434","103.12"
"107","龍崎區","64.0814","8","95","1573","2.72854418308964","4292","2326","1966","118.311291963377","66.9773132297359","103.12"
"108","永康區","40.2753","39","1267","81040","2.82145853899309","228651","113016","115635","97.7351148008821","5677.20165957795","103.12"
"109","東區","13.4156","45","1239","71870","2.64690413246139","190233","91546","98687","92.7639912045153","14179.9844956618","103.12"
"110","南區","27.2681","39","831","44706","2.81150181183734","125691","62488","63203","98.8687245858583","4609.45207036794","103.12"
"111","北區","10.434","43","850","49711","2.66657279073042","132558","64876","67682","95.8541414260808","12704.4278320874","103.12"
"112","安南區","107.2016","51","943","60102","3.12427207081295","187775","95005","92770","102.409184003449","1751.60631930867","103.12"
"113","安平區","11.0663","15","360","24546","2.64393383850729","64898","30906","33992","90.9213932690045","5864.47141320947","103.12"
"114","中西區","6.26","38","745","30783","2.53094240327453","77910","37977","39933","95.101795507475","12445.6869009585","103.12"
"115","臺南市","2191.6531","752","14715","663131","2.83987326787618","1883208","944555","938653","100.628773359271","859.263721982279","102.12"
"116","新營區","38.5386","29","636","28243","2.78019332223914","78521","38966","39555","98.5109341423335","2037.46373765523","102.12"
"117","鹽水區","52.2455","25","326","10033","2.63390810325924","26426","13778","12648","108.93421884883","505.804327645443","102.12"
"118","白河區","126.4046","24","293","10987","2.74670064621826","30178","15815","14363","110.109308640256","238.741311629482","102.12"
"119","柳營區","61.2929","13","261","7808","2.80891393442623","21932","11434","10498","108.915983996952","357.822847344472","102.12"
"120","後壁區","72.2189","21","268","8938","2.78697695233833","24910","12971","11939","108.643940028478","344.923558791397","102.12"
"121","東山區","124.9178","16","311","8292","2.67667631452002","22195","11773","10422","112.962962962963","177.676840290175","102.12"
"122","麻豆區","53.9744","29","392","15424","2.93244294605809","45230","23011","22219","103.564516854944","837.989861860437","102.12"
"123","下營區","33.5291","15","271","9118","2.77835051546392","25333","13048","12285","106.210826210826","755.552639349103","102.12"
"124","六甲區","67.5471","12","231","7748","2.98799690242643","23151","11988","11163","107.390486428379","342.738622383492","102.12"
"125","官田區","70.7953","13","257","7754","2.81441836471499","21823","11162","10661","104.699371541131","308.254926527608","102.12"
"126","大內區","70.3125","10","145","4019","2.58969893008211","10408","5546","4862","114.06828465652","148.024888888889","102.12"
"127","佳里區","38.9422","21","409","20012","2.96681990805517","59372","29471","29901","98.5619210059864","1524.6185372167","102.12"
"128","學甲區","53.9919","13","330","9658","2.81290122178505","27167","13905","13262","104.84843914945","503.168067802763","102.12"
"129","西港區","33.7666","12","241","7948","3.13462506290891","24914","12639","12275","102.965376782077","737.829689693366","102.12"
"130","七股區","110.1492","23","315","8120","2.93977832512315","23871","12452","11419","109.046326298275","216.715146365112","102.12"
"131","將軍區","41.9796","18","304","7378","2.82027649769585","20808","10594","10214","103.720383786959","495.669325100763","102.12"
"132","北門區","44.1003","13","206","4397","2.70093245394587","11876","5989","5887","101.732631221335","269.295220213921","102.12"
"133","新化區","62.0579","20","253","14069","3.11578648091549","43836","22448","21388","104.956050121564","706.372597203579","102.12"
"134","善化區","55.3097","21","352","15716","2.87395011453296","45167","22789","22378","101.836625256949","816.619869570799","102.12"
"135","新市區","47.8096","11","263","11378","3.10564246792055","35336","17775","17561","101.218609418598","739.098423747532","102.12"
"136","安定區","31.27","16","255","9653","3.1301149901585","30215","15589","14626","106.584165185286","966.261592580748","102.12"
"137","山上區","27.878","7","85","2713","2.79026907482492","7570","3966","3604","110.044395116537","271.540282660162","102.12"
"138","玉井區","76.3662","10","175","5135","2.88627069133398","14821","7729","7092","108.981951494642","194.07800833353","102.12"
"139","楠西區","109.6316","7","123","3557","2.86364914253585","10186","5412","4774","113.364055299539","92.9111679479274","102.12"
"140","南化區","171.5198","9","113","2856","3.11414565826331","8894","4842","4052","119.496544916091","51.8540716581992","102.12"
"141","左鎮區","74.9025","10","110","1993","2.61465127947817","5211","2916","2295","127.058823529412","69.5704415740463","102.12"
"142","仁德區","50.7664","18","501","26293","2.75525805347431","72444","36923","35521","103.946960952676","1427.00683916921","102.12"
"143","歸仁區","55.7913","21","630","21714","3.09021829234595","67101","34114","32987","103.41649740807","1202.71440170779","102.12"
"144","關廟區","53.6413","17","280","10843","3.23757262750161","35105","18171","16934","107.304830518484","654.43976935682","102.12"
"145","龍崎區","64.0814","8","95","1584","2.7209595959596","4310","2338","1972","118.559837728195","67.2582059692828","102.12"
"146","永康區","40.2753","39","1288","80151","2.83059475240484","226875","112265","114610","97.9539307215775","5633.10515377912","102.12"
"147","東區","13.4156","45","1240","71910","2.66410791266861","191576","92277","99299","92.9284282822586","14280.091833388","102.12"
"148","南區","27.2681","39","845","44335","2.83322431487538","125611","62597","63014","99.3382422953629","4606.51823926126","102.12"
"149","北區","10.434","43","855","49366","2.68071142081595","132336","64828","67508","96.0301001362802","12683.1512363427","102.12"
"150","安南區","107.2016","51","944","58918","3.14694999830273","185412","93910","91502","102.631636466962","1729.56373785466","102.12"
"151","安平區","11.0663","15","360","24266","2.66170773922361","64589","30850","33739","91.4372091644684","5836.54880131571","102.12"
"152","中西區","6.26","38","752","30804","2.54830541488118","78498","38274","40224","95.1521479713604","12539.6166134185","102.12"
"153","臺南市","2191.6531","752","14730","656402","2.86660461119863","1881645","945004","936641","100.892871441673","858.550561674199","101.12"
"154","新營區","38.5386","29","638","27905","2.81222003225228","78475","39029","39446","98.9428585914922","2036.2701291692","101.12"
"155","鹽水區","52.2455","25","326","10074","2.64989080802065","26695","13889","12806","108.456973293769","510.953096438928","101.12"
"156","白河區","126.4046","24","293","11034","2.77342758745695","30602","16036","14566","110.091995056982","242.095619937882","101.12"
"157","柳營區","61.2929","13","262","7824","2.83231083844581","22160","11575","10585","109.352857817667","361.542690915261","101.12"
"158","後壁區","72.2189","21","268","8940","2.82774049217002","25280","13176","12104","108.856576338401","350.046871386853","101.12"
"159","東山區","124.9178","16","311","8285","2.71925165962583","22529","11929","10600","112.537735849057","180.350598553609","101.12"
"160","麻豆區","53.9744","29","393","15311","2.96368623865195","45377","23150","22227","104.152607189454","840.713375229739","101.12"
"161","下營區","33.5291","15","271","9146","2.80034987972884","25612","13231","12381","106.865358210161","763.873769352592","101.12"
"162","六甲區","67.5471","12","231","7733","3.01900944006207","23346","12123","11223","108.019246190858","345.625496875514","101.12"
"163","官田區","70.7953","13","257","7717","2.83944538032914","21912","11198","10714","104.517453798768","309.512072129082","101.12"
"164","大內區","70.3125","10","145","4026","2.61723795330353","10537","5627","4910","114.602851323829","149.859555555556","101.12"
"165","佳里區","38.9422","21","409","19805","2.99363797020954","59289","29443","29846","98.649735307914","1522.48717329786","101.12"
"166","學甲區","53.9919","13","330","9658","2.83847587492234","27414","14018","13396","104.643177067781","507.74282809088","101.12"
"167","西港區","33.7666","12","241","7948","3.14972320080523","25034","12701","12333","102.983864428768","741.383497302068","101.12"
"168","七股區","110.1492","23","315","8050","3.00931677018634","24225","12632","11593","108.962304839127","219.928969071042","101.12"
"169","將軍區","41.9796","18","304","7420","2.83086253369272","21005","10673","10332","103.300425861401","500.362080629639","101.12"
"170","北門區","44.1003","13","206","4393","2.75051217846574","12083","6116","5967","102.49706720295","273.989065834019","101.12"
"171","新化區","62.0579","20","253","13984","3.14216247139588","43940","22533","21407","105.259961694773","708.048451526719","101.12"
"172","善化區","55.3097","21","360","15424","2.89282935684647","44619","22484","22135","101.576688502372","806.712023388303","101.12"
"173","新市區","47.8096","11","263","11190","3.14450402144772","35187","17697","17490","101.183533447684","735.98189484957","101.12"
"174","安定區","31.27","16","255","9558","3.16991002301737","30298","15656","14642","106.925283431225","968.91589382795","101.12"
"175","山上區","27.878","7","85","2733","2.81595316502012","7696","4026","3670","109.700272479564","276.059975608006","101.12"
"176","玉井區","76.3662","10","175","5117","2.94273988665234","15058","7835","7223","108.472933684065","197.181475574272","101.12"
"177","楠西區","109.6316","7","124","3542","2.90005646527386","10272","5455","4817","113.244758148225","93.6956133085716","101.12"
"178","南化區","171.5198","9","113","2830","3.11448763250883","8814","4818","3996","120.570570570571","51.3876532038867","101.12"
"179","左鎮區","74.9025","10","110","1992","2.65763052208835","5294","2964","2330","127.210300429185","70.6785487800808","101.12"
"180","仁德區","50.7664","18","497","25629","2.78083421124507","71270","36402","34868","104.399449351841","1403.88130732138","101.12"
"181","歸仁區","55.7913","21","630","21296","3.12993050338092","66655","33935","32720","103.713325183374","1194.72032377808","101.12"
"182","關廟區","53.6413","17","280","10811","3.27009527333272","35353","18316","17037","107.507190233022","659.063072669753","101.12"
"183","龍崎區","64.0814","8","95","1591","2.71841609050911","4325","2349","1976","118.876518218623","67.4922832522386","101.12"
