"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"391","岡山區","33","540","33583","97304","48732","48572","100.10","高雄市"
"392","橋頭區","17","359","12874","36774","18816","17958","100.10","高雄市"
"393","燕巢區","11","289","10123","30896","16489","14407","100.10","高雄市"
"394","田寮區","10","154","3522","8055","4470","3585","100.10","高雄市"
"395","阿蓮區","12","276","9216","30197","15245","14952","100.10","高雄市"
"396","路竹區","20","395","16165","53482","27278","26204","100.10","高雄市"
"397","湖內區","14","260","9749","28841","14836","14005","100.10","高雄市"
"398","茄萣區","15","339","10179","31033","16149","14884","100.10","高雄市"
"399","永安區","6","81","5817","14119","7175","6944","100.10","高雄市"
"400","彌陀區","12","227","6677","20260","10516","9744","100.10","高雄市"
"401","梓官區","15","286","12144","36601","19019","17582","100.10","高雄市"
"402","旗山區","21","381","13859","39502","20551","18951","100.10","高雄市"
"403","美濃區","19","389","14312","42712","22310","20402","100.10","高雄市"
