"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"229"," 嘉義縣","357","5347","179676","533723","278219","255504","101.12","嘉義縣"
"230"," 太保市","18","250","11775","36946","19039","17907","101.12","嘉義縣"
"231"," 朴子市","27","414","15123","43855","22274","21581","101.12","嘉義縣"
"232"," 布袋鎮","23","375","10194","29244","15013","14231","101.12","嘉義縣"
"233"," 大林鎮","21","317","11396","32917","16918","15999","101.12","嘉義縣"
"234"," 民雄鄉","28","522","23498","72286","37092","35194","101.12","嘉義縣"
"235"," 溪口鄉","14","205","5444","15823","8442","7381","101.12","嘉義縣"
"236"," 新港鄉","23","380","10496","33830","17853","15977","101.12","嘉義縣"
"237"," 六腳鄉","25","328","9132","25356","13451","11905","101.12","嘉義縣"
"238"," 東石鄉","23","357","9504","26713","14198","12515","101.12","嘉義縣"
"239"," 義竹鄉","22","311","7533","20158","10474","9684","101.12","嘉義縣"
"240"," 鹿草鄉","15","255","5846","16832","9041","7791","101.12","嘉義縣"
"241"," 水上鄉","26","409","17608","51497","26599","24898","101.12","嘉義縣"
"242"," 中埔鄉","22","375","15756","47025","24496","22529","101.12","嘉義縣"
"243"," 竹崎鄉","24","407","11518","37923","20190","17733","101.12","嘉義縣"
"244"," 梅山鄉","18","200","6759","20842","11047","9795","101.12","嘉義縣"
"245"," 番路鄉","11","115","4246","12227","6661","5566","101.12","嘉義縣"
"246"," 大埔鄉","5","49","1923","4547","2384","2163","101.12","嘉義縣"
"247"," 阿里山鄉","12","78","1925","5702","3047","2655","101.12","嘉義縣"
"248"," 嘉義縣","357","5347","180652","529229","275686","253543","102.12","嘉義縣"
"249"," 太保市","18","250","11983","37023","19114","17909","102.12","嘉義縣"
"250"," 朴子市","27","414","15263","43599","22067","21532","102.12","嘉義縣"
"251"," 布袋鎮","23","375","10170","28701","14725","13976","102.12","嘉義縣"
"252"," 大林鎮","21","317","11401","32593","16714","15879","102.12","嘉義縣"
"253"," 民雄鄉","28","522","23773","72096","36911","35185","102.12","嘉義縣"
"254"," 溪口鄉","14","205","5423","15546","8269","7277","102.12","嘉義縣"
"255"," 新港鄉","23","380","10551","33507","17716","15791","102.12","嘉義縣"
"256"," 六腳鄉","25","328","9056","24947","13227","11720","102.12","嘉義縣"
"257"," 東石鄉","23","357","9455","26305","13975","12330","102.12","嘉義縣"
"258"," 義竹鄉","22","311","7564","19856","10321","9535","102.12","嘉義縣"
"259"," 鹿草鄉","15","255","5832","16652","8936","7716","102.12","嘉義縣"
"260"," 水上鄉","26","409","17769","51289","26477","24812","102.12","嘉義縣"
"261"," 中埔鄉","22","375","15916","46694","24346","22348","102.12","嘉義縣"
