"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"197"," 梅山鄉",18,200,6314,22332,11862,10470,96.12,"嘉義縣"
"198"," 番路鄉",11,112,3784,11778,6454,5324,96.12,"嘉義縣"
"199"," 大埔鄉",5,49,1861,4011,2171,1840,96.12,"嘉義縣"
"200"," 阿里山鄉",12,78,1949,6165,3309,2856,96.12,"嘉義縣"
"201"," 嘉義縣",357,5319,171645,548731,287360,261371,97.12,"嘉義縣"
"202"," 太保市",18,250,10691,35896,18641,17255,97.12,"嘉義縣"
"203"," 朴子市",27,403,13924,44281,22698,21583,97.12,"嘉義縣"
"204"," 布袋鎮",23,375,9988,30888,15955,14933,97.12,"嘉義縣"
"205"," 大林鎮",21,317,10998,34101,17581,16520,97.12,"嘉義縣"
"206"," 民雄鄉",28,508,21985,72641,37458,35183,97.12,"嘉義縣"
"207"," 溪口鄉",14,205,5323,16695,8937,7758,97.12,"嘉義縣"
"208"," 新港鄉",23,380,10174,35149,18555,16594,97.12,"嘉義縣"
"209"," 六腳鄉",25,328,9053,27041,14358,12683,97.12,"嘉義縣"
"210"," 東石鄉",23,357,9203,28399,15153,13246,97.12,"嘉義縣"
"211"," 義竹鄉",22,311,7374,21671,11274,10397,97.12,"嘉義縣"
"212"," 鹿草鄉",15,255,5623,17429,9359,8070,97.12,"嘉義縣"
"213"," 水上鄉",26,409,17218,53130,27601,25529,97.12,"嘉義縣"
"214"," 中埔鄉",22,375,14759,47840,25074,22766,97.12,"嘉義縣"
"215"," 竹崎鄉",24,407,11127,39155,20900,18255,97.12,"嘉義縣"
"216"," 梅山鄉",18,200,6468,22184,11787,10397,97.12,"嘉義縣"
"217"," 番路鄉",11,112,3820,11619,6348,5271,97.12,"嘉義縣"
"218"," 大埔鄉",5,49,1950,4434,2359,2075,97.12,"嘉義縣"
"219"," 阿里山鄉",12,78,1967,6178,3322,2856,97.12,"嘉義縣"
"220"," 嘉義縣",357,5328,174312,547716,286024,261692,98.12,"嘉義縣"
"221"," 太保市",18,250,10987,36210,18724,17486,98.12,"嘉義縣"
"222"," 朴子市",27,406,14289,44326,22640,21686,98.12,"嘉義縣"
"223"," 布袋鎮",23,375,10132,30824,15844,14980,98.12,"嘉義縣"
"224"," 大林鎮",21,317,11111,33982,17479,16503,98.12,"嘉義縣"
"225"," 民雄鄉",28,514,22447,72793,37439,35354,98.12,"嘉義縣"
"226"," 溪口鄉",14,205,5387,16563,8832,7731,98.12,"嘉義縣"
"227"," 新港鄉",23,380,10293,34995,18471,16524,98.12,"嘉義縣"
"228"," 六腳鄉",25,328,9122,26890,14246,12644,98.12,"嘉義縣"
"229"," 東石鄉",23,357,9383,28224,15008,13216,98.12,"嘉義縣"
"230"," 義竹鄉",22,311,7447,21617,11188,10429,98.12,"嘉義縣"
"231"," 鹿草鄉",15,255,5693,17405,9335,8070,98.12,"嘉義縣"
"232"," 水上鄉",26,409,17246,52562,27229,25333,98.12,"嘉義縣"
"233"," 中埔鄉",22,375,15071,47790,24991,22799,98.12,"嘉義縣"
"234"," 竹崎鄉",24,407,11233,38962,20763,18199,98.12,"嘉義縣"
"235"," 梅山鄉",18,200,6590,22049,11695,10354,98.12,"嘉義縣"
"236"," 番路鄉",11,112,3883,11730,6374,5356,98.12,"嘉義縣"
"237"," 大埔鄉",5,49,1962,4572,2424,2148,98.12,"嘉義縣"
"238"," 阿里山鄉",12,78,2036,6222,3342,2880,98.12,"嘉義縣"
"239"," 嘉義縣",357,5336,176398,543248,283284,259964,99.12,"嘉義縣"
"240"," 太保市",18,250,11303,36685,18919,17766,99.12,"嘉義縣"
"241"," 朴子市",27,414,14635,44093,22505,21588,99.12,"嘉義縣"
"242"," 布袋鎮",23,375,10144,30216,15487,14729,99.12,"嘉義縣"
"243"," 大林鎮",21,317,11209,33635,17263,16372,99.12,"嘉義縣"
"244"," 民雄鄉",28,514,22813,72539,37236,35303,99.12,"嘉義縣"
"245"," 溪口鄉",14,205,5385,16269,8674,7595,99.12,"嘉義縣"
"246"," 新港鄉",23,380,10402,34676,18297,16379,99.12,"嘉義縣"
"247"," 六腳鄉",25,328,9155,26379,13974,12405,99.12,"嘉義縣"
"248"," 東石鄉",23,357,9512,27741,14745,12996,99.12,"嘉義縣"
